rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
103,40,друг,NOUN,874.2,1117,4164,617,100,0.59,2924.17,1712.56,2911.71,1,1,41,6.47,6,23,2995,1555,1616,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
104,203,нет,ADVERB,874,418.8,981,188,92,0.63,891,461.45,461.26,1,1,37,5.95,6,21,940,419,256,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
105,164,теперь,ADVERB,871.8,1352,1241,118,85,0.67,559.24,766.52,580.18,1,1,33,5.75,6,21,836,696,322,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
106,530,ни,PART,858.2,744,513,30,69,0.71,142.18,337,254.05,0,0,29,5.15,6,19,287,306,141,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
107,288,глаз,NOUN,857.6,1595,783,60,85,0.64,284.36,406.39,436.04,1,1,36,5.45,6,20,892,369,242,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
108,83,тоже,ADJECTIVE,841.5,1289,1252,275,100,0.58,1303.32,390.97,733.33,1,1,42,6.12,6,22,1713,355,407,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A2
109,169,тогда,ADVERB,835.6,919,592,77,69,0.61,364.93,242.29,327.93,1,1,39,5.56,6,21,900,220,182,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
110,39,видеть,VERB,818.2,1198,1864,456,100,0.56,2161.14,712.56,1124.32,1,1,44,6.33,6,23,1091,647,624,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
111,209,вопрос,NOUN,805.8,357,5417,352,69,0.66,1668.25,3480.18,3275.68,1,1,34,6.22,6,21,693,3160,1818,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
112,298,через,PREPOSITION,805.4,875,684,49,62,0.68,232.23,316.08,347.75,0,1,32,5.37,6,20,1235,287,193,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
113,80,да,CONJUNCTION,801,1329.8,1107,223,92,0.59,1056.87,519.82,598.2,1,1,41,6.02,6,22,637,472,332,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
114,43,здесь,ADVERB,796.8,949,1210,342,100,0.57,1620.85,325.99,686.49,1,1,43,6.21,6,23,1521,296,381,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
115,42,дом,NOUN,792.6,1016,2573,531,100,0.58,2516.59,852.42,1854.05,1,1,42,6.4,6,23,1904,774,1029,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
116,101,да,PART,787.5,698.5,616,214,92,0.58,1014.22,170.7,335.14,1,1,42,6.01,6,22,486,155,186,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
